,roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
0,0.38885,3.3324,5.6848,0.8348200000000001,1.8165,0.76673,1.1083,2.3819999999999997,0.19294,0.010648999999999999,0.000239,4.8e-05,0.0,5e-06,0.0,86.738,87.781,30.296,17.873,18.164,25.002,0.08389400000000001,-0.17915,0.4763,4.5146,4.5284,2.3768,0.12541,0.98877,0.24961,0.94045
1,0.48873,3.3286,5.0707,0.79909,1.6633,0.77585,1.0404,2.1628,0.18242,0.0073209999999999985,0.000143,1.6e-05,0.0,1e-06,0.0,86.10700000000001,85.78299999999999,18.914,18.572,18.887,22.378,-0.072122,-0.29977,0.9916,3.885,3.9098,3.0839,0.14247,0.986,0.23779,0.9335899999999999
2,0.42368999999999996,3.0577,5.4461,0.8543200000000001,1.9240000000000002,0.7728,1.1288,2.2711,0.19764,0.012898,0.000153,2.1e-05,0.0,2e-06,0.0,86.54700000000004,90.012,24.639,18.985,18.822,24.97300000000001,0.049932,-0.19863,0.76058,3.7409,4.0344,2.6332,0.12592,0.98851,0.24222,0.9401299999999999
3,0.39037,3.4155,5.6737,0.8084,1.6988,0.76663,1.1159,2.3991,0.18649000000000002,0.008192,0.000167,2.6000000000000002e-05,0.0,2e-06,0.0,84.376,87.51100000000002,19.585,16.562,16.578,21.691,0.28028000000000003,0.010588,1.0431,4.8961,4.845,3.5043,0.1208,0.9894200000000001,0.27455,0.94268
4,0.48862,3.0523,5.0713,0.80886,1.7007,0.77884,1.1244,2.1611,0.18366,0.007972,8e-06,1e-06,0.0,0.0,0.0,81.597,84.236,8.4471,18.325,18.124000000000002,15.622,-0.59053,-0.63269,2.2673,4.4860000000000015,4.59,9.024,0.12172999999999999,0.98939,0.27173,0.9441299999999999
5,0.49982,3.3298,5.0141,0.71525,1.4309,0.78061,1.1122,2.18,0.17052,0.003435,1e-06,0.0,0.0,0.0,0.0,74.46,78.532,2.7216,19.419,18.767,10.26,-0.020040000000000002,-0.018083000000000002,4.9522,3.8849,3.9839,32.277,0.14515,0.98756,0.22674,0.9310200000000001
6,0.44478999999999996,3.2855,5.3153,0.8004899999999999,1.6685,0.77046,1.0994,2.2584,0.18397,0.007522,8.7e-05,1.4000000000000001e-05,0.0,1e-06,0.0,82.212,83.995,12.751,19.927,20.289,21.105,-0.14618,-0.34278000000000003,1.6681,3.6341,3.8942,4.9575,0.13927,0.9877,0.23039,0.93424
7,0.42639,3.2939,5.4288,0.79945,1.6647,0.7738,1.1237,2.3123,0.18297,0.007384,9.499999999999999e-05,1.2e-05,0.0,1e-06,0.0,81.99700000000001,82.15899999999998,18.076,16.942,17.896,22.25800000000001,0.18903,-0.060205999999999996,1.1208,3.8612,4.0364,3.3753,0.13167,0.9891,0.25378,0.9376899999999999
8,0.45813999999999994,3.4213,5.2373,0.74651,1.5029,0.77988,1.1027,2.2654,0.17377,0.0045049999999999995,2e-06,0.0,0.0,0.0,0.0,71.186,79.22399999999998,0.67092,20.459,19.413,5.3617,0.1003,0.10654000000000001,11.262,4.1593,4.1451,163.0,0.16684000000000002,0.9858299999999999,0.20670999999999998,0.92156
9,0.37982,3.531,5.7520000000000024,0.80313,1.6784,0.76904,1.1027,2.4399,0.18482,0.007741,5.5e-05,1.2e-05,0.0,1e-06,0.0,83.3,87.87799999999999,12.59,15.997,15.571,18.096,0.47723999999999994,0.30543000000000003,1.7493,5.4688,5.4606,6.0907,0.11794,0.9891399999999999,0.29638000000000003,0.9453799999999999
