roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
0.295477289,0.376159179,0.412792678,0.826319644,0.141169306,0.922575052,0.359916055,0.380327701,0.078585274,0.034807737,0.00872422,0.014055637,0.814814815,0.503767492,0.125,0.769477113,0.804983651,0.605560079,0.454574618,0.39456652,0.889391443,0.258287747,0.30630264,0.033572253,0.14541619,0.275613887,0.000288833,0.21550316,0.806273063,0.400190075,0.75019144
0.434299772,0.375018757,0.28207748,0.786062757,0.114511919,0.964184688,0.122420427,0.26843959,0.053411185,0.023928685,0.005219931,0.004685212,0.814814815,0.502332257,0.125,0.757863545,0.779160689,0.377341536,0.499422559,0.452337195,0.789067608,0.211496797,0.263617383,0.050151978,0.089137586,0.182079352,0.000799034,0.27429304,0.721094711,0.351349118,0.691823364
0.343901151,0.293718676,0.361983823,0.848290237,0.159874717,0.950269185,0.431619447,0.323720076,0.089832253,0.042159596,0.005584961,0.006149341,0.814814815,0.502691066,0.125,0.765961754,0.833817999,0.492132536,0.525920698,0.447143428,0.888282681,0.248102162,0.299409017,0.042718933,0.076256793,0.200919318,0.000473836,0.217260654,0.798277983,0.369654147,0.747468731
0.297589926,0.401098406,0.41042997,0.796552307,0.120689055,0.922118806,0.386498776,0.389056199,0.06315059,0.026775937,0.006096003,0.00761347,0.814814815,0.502691066,0.125,0.726004454,0.801494061,0.390795643,0.37046067,0.267838594,0.762801421,0.317186113,0.373447519,0.051808985,0.179517663,0.32348494,0.00110237,0.199616798,0.826260763,0.503243668,0.769165319
0.434146884,0.292098076,0.282205194,0.797070588,0.121019662,0.977826444,0.416229451,0.267571844,0.056378473,0.026056769,0.000292024,0.000292826,0.814814815,0.501973448,0.125,0.674856901,0.759166634,0.167471507,0.483575003,0.391370356,0.530764319,0.056020418,0.145802958,0.091197495,0.142859697,0.284928027,0.005085057,0.202821639,0.825338253,0.491591257,0.781502595
0.449713682,0.37537889,0.2700298,0.691600473,0.07407343,0.985901998,0.373557188,0.277219131,0.024934791,0.011225561,3.6503E-05,0,0.814814815,0.501973448,0.125,0.543500267,0.685445827,0.052670482,0.5537662,0.442748702,0.325758068,0.227116773,0.363301366,0.177583878,0.089128647,0.193283537,0.021863039,0.283528496,0.769065191,0.305689848,0.669956607
0.373227887,0.362083971,0.334142188,0.787640133,0.115416739,0.939593029,0.328786289,0.317237507,0.057120295,0.024585743,0.003175762,0.004099561,0.814814815,0.502332257,0.125,0.686175989,0.756051853,0.253768273,0.586359553,0.564362765,0.740396784,0.189285971,0.248396914,0.071918296,0.066710169,0.179720576,0.002150912,0.26326563,0.773370234,0.320771869,0.697353867
0.347653861,0.364604904,0.358301405,0.786468368,0.114755525,0.954831645,0.413781042,0.34475014,0.054727321,0.024134628,0.003467786,0.003513909,0.814814815,0.502332257,0.125,0.682218909,0.732322645,0.360538941,0.394841524,0.373152217,0.784479627,0.289819214,0.348394791,0.054308975,0.087010154,0.201221725,0.001009291,0.237075531,0.816420664,0.417420768,0.726708075
0.391782954,0.40283905,0.317539378,0.726821024,0.086601705,0.982571403,0.340328786,0.320810576,0.032711958,0.014723333,7.3006E-05,0,0.814814815,0.501973448,0.125,0.483242228,0.694389516,0.011552646,0.62049275,0.49436676,0.138480537,0.26320809,0.407403213,0.380601046,0.113656679,0.217657554,0.116184984,0.358273659,0.715867159,0.222924673,0.589466519
0.282926558,0.435761232,0.427096637,0.790614613,0.117139377,0.933114335,0.340328786,0.409882089,0.059154323,0.025301642,0.002007666,0.003513909,0.814814815,0.502332257,0.125,0.706200652,0.806237318,0.250540089,0.334210189,0.18737515,0.625353179,0.376256628,0.477786821,0.074530898,0.230710097,0.416565864,0.002968562,0.18976105,0.817650677,0.593446552,0.792138177
0.352310002,0.334713844,0.353788846,0.818905977,0.135601183,0.962222831,0.386498776,0.330559951,0.069156955,0.03181992,0.003212265,0.002928258,0.814814815,0.502332257,0.125,0.645684943,0.712483683,0.344498277,0.491338381,0.436516181,0.796178977,0.192549005,0.274124142,0.054781946,0.073539402,0.177467642,0.000921768,0.286698876,0.77798278,0.311598694,0.66782949
0.338230389,0.463221392,0.36758195,0.693820066,0.074786845,0.97262524,0.373207415,0.376346281,0.026873101,0.011500152,0.001715642,0.000878477,0.814814815,0.501973448,0.125,0.68757477,0.703746785,0.325169277,0.438662903,0.429964043,0.755498886,0.28804074,0.347529903,0.058369447,0.087439216,0.189231281,0.001315729,0.294866051,0.750922509,0.344985744,0.669701353
0.341024073,0.378590078,0.364814815,0.804641992,0.125804768,0.965781549,0.31444561,0.347506508,0.061379789,0.02800506,0.002482205,0.002635432,0.814814815,0.502332257,0.125,0.764066037,0.797733059,0.926453557,0.340433723,0.295805034,0.778744652,0.200535641,0.303379574,0.010859993,0.168004505,0.299655256,0.000628823,0.178526876,0.817650677,0.50068179,0.794945971
0.454230833,0.293118454,0.266581524,0.787820404,0.115521141,0.980244548,0.392794683,0.254606707,0.052142908,0.024062711,0.000985581,0.000292826,0.814814815,0.501973448,0.125,0.63889349,0.630723896,0.17769342,0.537148723,0.576188574,0.603139708,0.199084071,0.238169722,0.098819728,0.137183567,0.232944236,0.006235914,0.326432013,0.751537515,0.293169704,0.646898664
0.445877578,0.345907986,0.272988506,0.736612022,0.090551592,0.990190711,0.378803778,0.274105457,0.034267391,0.015821699,0.000474539,0.000292826,0.814814815,0.501973448,0.125,0.695323284,0.77044964,0.205165062,0.378609008,0.297163404,0.593887281,0.187894383,0.308118055,0.080586214,0.126662614,0.259828233,0.003363028,0.207025839,0.795202952,0.495186149,0.758104314
0.421318174,0.356561928,0.292550021,0.776181624,0.109083,0.972853363,0.267226303,0.283089174,0.048553447,0.021934628,0.002810732,0.002635432,0.814814815,0.502332257,0.125,0.742440138,0.764155455,0.413914249,0.461760554,0.448821414,0.812810406,0.158380119,0.236011041,0.044413263,0.056171339,0.15159671,0.000464672,0.23966008,0.766605166,0.34676253,0.720071471
0.422652471,0.275321869,0.291464453,0.825080277,0.140212285,0.948079204,0.382301504,0.26287581,0.074517217,0.033918584,0.004343858,0.006149341,0.814814815,0.502691066,0.125,0.607494525,0.700334742,0.25128197,0.642499679,0.594966041,0.729806196,0.218078649,0.322751079,0.070283812,0.025591748,0.07602516,0.001964106,0.279668902,0.79797048,0.279079377,0.675231856
0.325151498,0.395576363,0.380885483,0.752498451,0.097442144,0.967697783,0.497726478,0.378745342,0.041350595,0.018165533,0.001314108,0.000878477,0.814814815,0.501973448,0.125,0.755360462,0.849947656,0.415558417,0.535159759,0.429644427,0.789908737,0.187729432,0.254034256,0.048848251,0.168201158,0.300471755,0.000954526,0.20344193,0.806273063,0.412173051,0.763890071
0.372004781,0.351279974,0.335270328,0.80840516,0.128293022,0.979833926,0.313396292,0.318411515,0.061451578,0.028711153,0.000401533,0.000292826,0.814814815,0.501973448,0.125,0.726814275,0.801287271,0.372669693,0.390799435,0.287495006,0.705642833,0.178348209,0.277178144,0.047679981,0.165045767,0.318389379,0.000859788,0.200995224,0.803813038,0.499235569,0.771632775
0.414869072,0.343867231,0.297850149,0.762616191,0.102209849,0.978647687,0.386149003,0.292736461,0.043193185,0.019577718,0.000766563,0.000292826,0.814814815,0.501973448,0.125,0.672114553,0.769351066,0.228223516,0.430707045,0.373232121,0.610786342,0.162968761,0.231254866,0.070322421,0.097647311,0.200057457,0.002301642,0.224979841,0.797662977,0.450477253,0.7454267
0.178726302,0.538669308,0.569369945,0.786276829,0.114633722,0.932612465,0.423924449,0.556020622,0.057431381,0.024402682,0.001496623,0.004099561,0.814814815,0.502332257,0.125,0.887987043,0.895118452,0.879594768,0.410304119,0.342548941,0.771136252,0.247176936,0.302923066,0.018412149,0.109294551,0.218625257,0.000512222,0.17821673,0.804735547,0.389529358,0.794435463
0.378023017,0.366495603,0.329778629,0.781510901,0.111971463,0.988183228,0.345925149,0.322392936,0.048697026,0.022725713,0.000109509,0,0.814814815,0.501973448,0.125,0.60381352,0.693794993,0.193369159,0.396381368,0.324091091,0.542693068,0.192081144,0.291156487,0.080138983,0.153353833,0.286651748,0.003438934,0.248102941,0.789360394,0.391801992,0.717263677
0.350822816,0.385192521,0.355214985,0.778220945,0.110179224,0.956428506,0.354669465,0.344137614,0.051329297,0.0225165,0.004526373,0.003513909,0.814814815,0.502332257,0.125,0.7928883,0.824680444,0.461595122,0.534710638,0.477986416,0.880139016,0.186709734,0.226781796,0.044447047,0.089066076,0.213650659,0.000524055,0.212505083,0.79397294,0.350935912,0.749000255
0.405473397,0.412922781,0.305747126,0.729051884,0.087489125,0.982890775,0.256383351,0.30825379,0.033214482,0.014978311,0.001058587,0.000878477,0.814814815,0.501973448,0.125,0.742274492,0.800718597,0.388369492,0.333311947,0.238593688,0.706904528,0.139161808,0.260740321,0.046149099,0.209257008,0.335399782,0.000844635,0.197893765,0.793357934,0.519400025,0.76771888
0.362942681,0.390474476,0.343678161,0.76272886,0.10226205,0.971712748,0.358516964,0.338726966,0.044054656,0.019672517,0.002482205,0.001756955,0.814814815,0.502332257,0.125,0.665304695,0.666356481,0.334091896,0.58045682,0.633639632,0.851425906,0.263325056,0.330614339,0.060795434,0.064904534,0.144066772,0.001261974,0.28742255,0.788745387,0.253749845,0.664681358
0.346444654,0.424327001,0.359472116,0.736003605,0.090290586,0.976731454,0.372857643,0.36159461,0.035679246,0.015867464,0.000584048,0.000292826,0.814814815,0.501973448,0.125,0.472144001,0.624132449,0.072490727,0.377903247,0.29572513,0.353553582,0.272280405,0.383503787,0.146673453,0.193283395,0.331665054,0.014762359,0.279806745,0.796125461,0.305441924,0.676337956
0.421610052,0.34491762,0.292315879,0.734527632,0.089681573,0.983529519,0.45575376,0.293451074,0.034506688,0.015625562,0.000109509,0,0.814814815,0.501973448,0.125,0.777464892,0.845747224,0.120201676,0.419286539,0.366360368,0.435793128,0.152042995,0.27722061,0.105730896,0.103466462,0.175381033,0.007070737,0.217708642,0.786900369,0.458038924,0.750787033
0.324817924,0.405840161,0.381226054,0.786085291,0.11452932,0.953554156,0.331934243,0.368026134,0.054727321,0.024075787,0.002956744,0.003513909,0.814814815,0.502332257,0.125,0.748053669,0.780827937,0.456361856,0.518157321,0.452976428,0.911604914,0.198766165,0.299210843,0.045482113,0.041163115,0.115640498,0.000486607,0.240935124,0.787822878,0.318871121,0.718454863
0.350850614,0.37807989,0.355193699,0.782941806,0.112754481,0.971393375,0.372857643,0.345311623,0.051281438,0.023216054,0.002737726,0.001756955,0.814814815,0.501973448,0.125,0.70524359,0.723534049,0.595374258,0.387783909,0.364922093,0.807343062,0.176884642,0.221236464,0.028404,0.093186856,0.252827507,0.000290131,0.196997788,0.834563346,0.465352671,0.776993108
0.370545394,0.384502266,0.336611324,0.772993071,0.107412563,0.962861575,0.316894019,0.32749732,0.048625236,0.021490051,0.001752145,0.001464129,0.814814815,0.501973448,0.125,0.668194283,0.758494565,0.214669155,0.445143077,0.361486217,0.596678302,0.219370366,0.321894685,0.076644789,0.11497962,0.19257288,0.002986961,0.220327652,0.815190652,0.444898971,0.753850081
0.332365041,0.434320699,0.373499361,0.744814377,0.094031669,0.946345469,0.338929696,0.369149099,0.041685611,0.017299262,0.002701223,0.002635432,0.814814815,0.502332257,0.125,0.650580678,0.762927636,0.280997299,0.300269473,0.175789053,0.634185041,0.278731495,0.394119895,0.064501982,0.183039545,0.296646305,0.002127318,0.179112707,0.834870849,0.556671212,0.796307326
0.327639406,0.443083941,0.378309919,0.764959721,0.103340873,0.951364176,0.260930395,0.370374151,0.047261241,0.020260927,0.003540792,0.003806735,0.814814815,0.502332257,0.125,0.589420794,0.652785856,0.505085372,0.468048248,0.438034359,0.864654582,0.3182418,0.417028806,0.042233736,0.140803776,0.25716705,0.000530044,0.284872461,0.783517835,0.287302178,0.665106781
0.54027909,0.386092854,0.206619838,0.652515351,0.062571777,0.99881376,0.196922001,0.21708948,0.017301204,0.008309661,0.000182515,0,0.814814815,0.501973448,0.125,0.77096792,0.846070335,0.246710381,0.405812909,0.315621254,0.611359839,0.175481058,0.320903815,0.067384853,0.105111199,0.184423007,0.002216717,0.206336625,0.75,0.499070286,0.762273462
0.242981042,0.453677861,0.476202639,0.772981804,0.107412563,0.961173465,0.511717384,0.470420091,0.048840604,0.021509665,0.000109509,0.000292826,0.814814815,0.501973448,0.125,0.692286456,0.785429026,0.368358764,0.414282048,0.325129844,0.70644573,0.334790902,0.390659636,0.053504602,0.200711527,0.342838998,0.001271643,0.25695933,0.727552276,0.490806165,0.713179614
0.267665536,0.436391465,0.445189442,0.811537378,0.130398469,0.975453965,0.331934243,0.428462049,0.063557395,0.029580692,0.002847235,0.003513909,0.814814815,0.502332257,0.125,0.663298548,0.72558903,0.284205432,0.616578981,0.563963244,0.748999247,0.148390077,0.185986269,0.066290907,0.121647955,0.276929358,0.001774196,0.235490341,0.806273063,0.334655593,0.725176551
0.301565019,0.408421116,0.40602384,0.809790998,0.129215243,0.95775162,0.309548793,0.386197744,0.064921391,0.029423783,0.003358277,0.004685212,0.814814815,0.502332257,0.125,0.724421622,0.752484717,0.467229405,0.518478121,0.520175789,0.891914832,0.209166487,0.289125203,0.043440938,0.069177274,0.168637353,0.000396198,0.228219142,0.803198032,0.322300731,0.73411044
0.372616334,0.412982804,0.334695615,0.737220438,0.090795197,0.980974541,0.329835607,0.336429993,0.035487808,0.015978608,0.00073006,0.000292826,0.814814815,0.501973448,0.125,0.680985773,0.762475282,0.362884888,0.246631592,0.11921694,0.649401842,0.331203964,0.462732677,0.05443124,0.306519951,0.524222814,0.001639268,0.202408111,0.791512915,0.651088798,0.765081256
0.412297771,0.345367786,0.3,0.746053743,0.094571081,0.970435259,0.438265128,0.297126231,0.039149058,0.017230614,0.000876072,0.000585652,0.814814815,0.501973448,0.125,0.642556089,0.699197394,0.433183096,0.412164763,0.354454654,0.78860881,0.152279925,0.208174676,0.042692228,0.087394522,0.216039676,0.000478959,0.20499266,0.836100861,0.415065493,0.761933123
