,roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
0,0.41133,3.3164,5.5273,0.8126,1.7158,0.77171,1.1177,2.3419,0.18616,0.008419,1.2e-05,3e-06,0.0,0.0,0.0,80.476,82.244,12.056,16.304000000000002,16.722,17.614,-0.025335,-0.23233,1.7258,5.2513,5.3833,6.1175,0.13438,0.98785,0.26267,0.93733
1,0.44937,3.4332,5.2881,0.72838,1.4595,0.76203,1.113,2.2675,0.1759,0.004033,2e-06,0.0,0.0,0.0,0.0,77.506,81.73899999999998,4.2004,20.321,20.16,12.049,-0.25257,-0.25588,3.8261,4.1055,3.9133,20.501,0.12946,0.98901,0.23932,0.93908
2,0.42581,3.4696,5.4325,0.7838,1.6103,0.77609,1.087,2.3266,0.17969000000000002,0.006347,8.9e-05,8e-06,0.0,1e-06,0.0,85.25200000000002,87.948,23.688,18.431,18.834,23.184,-0.20159,-0.30681,0.6532899999999999,3.9424,3.9278,2.4718,0.12859,0.98824,0.23973000000000005,0.93891
3,0.46514,3.2588,5.1977,0.77664,1.5874,0.7797,1.1178,2.2349,0.17774,0.005891,5e-06,1e-06,0.0,0.0,0.0,81.152,90.5,0.5421,17.62,16.982,5.2577,0.013923,-0.025003,13.511,4.6254,4.3951,222.88,0.13119,0.98733,0.28826,0.9385
4,0.46178,3.1442,5.2166,0.79576,1.6512,0.76804,1.1315,2.2158,0.18365,0.007240000000000002,2.7e-05,7.000000000000002e-06,0.0,1e-06,0.0,86.395,84.73299999999998,22.824,17.463,18.199,24.194000000000006,0.074417,-0.07570199999999999,0.79375,3.7208,3.9286,2.5954,0.14002,0.98762,0.24221,0.93387
5,0.4362,3.2047,5.3674,0.81405,1.7218,0.77389,1.1229,2.2763,0.18596,0.008491,3.8e-05,5e-06,0.0,0.0,0.0,81.483,81.699,26.095,17.147000000000002,17.704,23.199,-0.15846,-0.25016,0.5373399999999999,3.9632,4.0215,2.3307,0.1221,0.9896,0.25346,0.94241
6,0.49397,3.3581,5.0438,0.72143,1.4441,0.77898,1.1032,2.1888,0.17142000000000002,0.003636,1.9e-05,0.0,0.0,0.0,0.0,70.342,76.622,2.2008,17.557000000000002,16.76,9.0379,0.20718000000000006,0.20427,5.8634,5.259,4.8801,47.482,0.16977,0.98573,0.21892,0.9222
7,0.43629,3.2436,5.3668,0.80555,1.6877,0.7671,1.1155,2.272,0.18578,0.007962,0.000146,1.8e-05,0.0,2e-06,0.0,82.555,79.137,26.514,18.631,19.713,25.369,-0.072809,-0.32237,0.56626,3.529,3.8338,2.2543,0.13005,0.98938,0.23403,0.93845
8,0.41465,3.412,5.5051,0.7729,1.5759999999999998,0.75655,1.1179,2.3336,0.18261,0.0060490000000000006,2.8000000000000006e-05,3e-06,0.0,0.0,0.0,87.234,84.152,35.827,16.884,17.96,23.988000000000003,-0.075448,-0.2158,0.091788,4.1079,4.2003,2.266,0.1242,0.98888,0.25308,0.942
9,0.47409,3.301,5.1485,0.77141,1.5715,0.7813100000000001,1.0997,2.2185,0.17661,0.005596,9e-06,1e-06,0.0,0.0,0.0,91.064,92.521,22.131,15.747,16.14,21.162,-0.039806,-0.23178,0.69847,4.587,4.9923,2.7346,0.12452,0.98688,0.26982,0.94075
