roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
0.647314177,0.667427032,0.658838801,0.192887281,0.875658331,0.089224434,0.600321027,0.662444906,0.938208106,0.972854195,0.998591384,0.999027868,0.761904762,0.83630137,0.5,0.383088992,0.295903226,0.745088214,0.672767004,0.714379996,0.437937339,0.767363095,0.764183717,0.912050923,0.790205805,0.590898376,0.995577638,0.788489074,0.274308653,0.49795082,0.238224147
0.594045819,0.635326774,0.705884667,0.285020714,0.920355063,0.163044307,0.61918138,0.700136785,0.962526665,0.986996195,0.999765231,1,0.761904762,0.83630137,0.5,0.435802776,0.304048387,0.913165258,0.398456706,0.462271761,0.649456284,0.831632566,0.773125069,0.83652792,0.882175881,0.80746339,0.979705139,0.809455221,0.222569135,0.617571721,0.219274499
0.627037473,0.625322926,0.677484069,0.224393371,0.894056712,0.055822466,0.723515249,0.670196059,0.953543494,0.979535049,0.989552764,0.997407647,0.761904762,0.835616438,0.5,0.298320968,0.203903226,0.496211976,0.527519803,0.559507223,0.226228349,0.817213759,0.792461928,0.950616449,0.89526745,0.805327205,0.999600746,0.81316265,0.25691347,0.615471311,0.221115322
0.571962695,0.683257297,0.723664543,0.232226135,0.898050295,0.028292534,0.599919743,0.716652313,0.958165442,0.981005352,0.999413077,0.999675956,0.761904762,0.83630137,0.5,0.371090838,0.162741935,0.991437605,0.582900847,0.695314219,0.907585415,0.756259652,0.685466792,0.488276369,0.840445001,0.736483102,0.756375595,0.802082978,0.29750223,0.366854508,0.225554954
0.576667787,0.714752927,0.71994729,0.211309592,0.88692407,0.117211927,0.54494382,0.726328588,0.944157383,0.976655704,0.996830614,0.997731692,0.761904762,0.835616438,0.5,0.278034149,0.255758065,0.514697969,0.593621961,0.606071717,0.187839466,0.739149975,0.704715946,0.945565761,0.913054646,0.805209346,0.999464351,0.76445471,0.284567351,0.602766393,0.275690309
0.612488097,0.698125653,0.69028794,0.191301037,0.874611977,0.07259971,0.579454254,0.695678606,0.938682152,0.972622042,0.995539383,0.99837978,0.761904762,0.83630137,0.5,0.365216002,0.304693548,0.444712225,0.615200765,0.642370023,0.225658217,0.805015188,0.770953327,0.954785802,0.893597894,0.791523027,0.999756453,0.840819214,0.196253345,0.545133197,0.183216026
0.531591329,0.655966581,0.753933601,0.292623746,0.923040703,0.033783269,0.658507223,0.740007093,0.973145295,0.988276262,0.997769691,1,0.761904762,0.83630137,0.5,0.562954812,0.386580645,0.95594835,0.58720295,0.711593459,0.763904568,0.701600267,0.598417514,0.763270283,0.789587748,0.66503138,0.94993103,0.637677701,0.368867083,0.722079918,0.40205739
0.612362068,0.687434728,0.690405948,0.20059971,0.880558753,0.124380386,0.609149278,0.697857034,0.939108794,0.974327723,0.982861838,0.994167207,0.761904762,0.834931507,0.5,0.346189344,0.346016129,0.435747374,0.513862333,0.495050231,0.143179132,0.780790291,0.798369675,0.953745891,0.928449881,0.81917558,0.999840762,0.806940988,0.206066012,0.644672131,0.226096372
0.642665098,0.641153191,0.663205098,0.236317551,0.900038366,0.204834897,0.599518459,0.66664978,0.946622422,0.980495905,0.996713229,0.999027868,0.761904762,0.83630137,0.5,0.263142948,0.265129032,0.236488055,0.633160339,0.623597565,0.195669278,0.781536686,0.757907686,0.970807049,0.88198324,0.765181649,0.999827851,0.831870249,0.228367529,0.547079918,0.187655658
0.559429788,0.671659429,0.733341201,0.237947553,0.900823131,0.016014642,0.672552167,0.724960738,0.960843802,0.981956536,0.998943538,0.999675956,0.761904762,0.83630137,0.5,0.195165241,0.130145161,0.529525276,0.710803059,0.757058004,0.303082133,0.771455966,0.763974896,0.948991858,0.843527259,0.648501724,0.999310741,0.830506597,0.317573595,0.461321721,0.201191121
